oryza_punctata	4537	plants
oryza_rufipogon	4529	plants
oryza_sativa	4530	plants
ostreococcus_lucimarinus	242159	plants
ovis_aries	9940	ensembl
pan_troglodytes	9598	ensembl
papio_anubis	9555	ensembl
physcomitrella_patens	3218	plants
pongo_abelii	9601	ensembl
populus_trichocarpa	3694	plants
prunus_persica	3760	plants
rattus_norvegicus	10116	ensembl
saccharomyces_cerevisiae	4932	fungi
schistosoma_mansoni	6183	metazoa
schizosaccharomyces_pombe	4896	fungi
selaginella_moellendorffii	88036	plants
setaria_italica	4555	plants
solanum_lycopersicum	4081	plants
solanum_tuberosum	4113	plants
sorghum_bicolor	4558	plants
sus_scrofa	9823	ensembl
tetraodon_nigroviridis	99883	ensembl
theobroma_cacao	3641	plants
triticum_aestivum	4565	plants
triticum_urartu	4572	plants
vitis_vinifera	29760	plants
xenopus_tropicalis	8364	ensembl
yarrowia_lipolytica	4952	fungi
zea_mays	4577	plants
dictyocaulus_viviparus	29172	wbps
onchocerca_ochengi	42157	wbps
caenorhabditis_sinica	1550068	wbps
ascaris_suum	6253	wbps
haemonchus_contortus	6289	wbps
caenorhabditis_angaria	860376	wbps
trichuris_suis	68888	wbps
trichinella_pseudospiralis	6337	wbps
ancylostoma_ceylanicum	53326	wbps
loa_loa	7209	wbps
fasciola_hepatica	6192	wbps
galdieria_sulphuraria	130081	plants
chondrus_crispus	2769	plants
angiostrongylus_cantonensis	6313	wbps
teladorsagia_circumcincta	45464	wbps
brugia_timori	42155	wbps
meloidogyne_hapla	6305	wbps
nippostrongylus_brasiliensis	27835	wbps
bursaphelenchus_xylophilus	6326	wbps
steinernema_monticolum	90984	wbps
pristionchus_exspectatus	1195656	wbps
protopolystoma_xenopodis	117903	wbps
hymenolepis_nana	102285	wbps
spirometra_erinaceieuropaei	99802	wbps
echinococcus_granulosus	6210	wbps
steinernema_scapterisci	90986	wbps
rhabditophanes_kr3021	114890	wbps
panagrellus_redivivus	6233	wbps
brugia_malayi	6279	wbps
schistosoma_mattheei	31246	wbps
echinostoma_caproni	27848	wbps
anisakis_simplex	6269	wbps
strongylus_vulgaris	40348	wbps
strongyloides_venezuelensis	75913	wbps
pristionchus_pacificus	54126	wbps
schistocephalus_solidus	70667	wbps
ancylostoma_caninum	29170	wbps
strongyloides_stercoralis	6248	wbps
taenia_solium	6204	wbps
caenorhabditis_briggsae	6238	wbps
taenia_asiatica	60517	wbps
echinococcus_multilocularis	6211	wbps
romanomermis_culicivorax	13658	wbps
steinernema_feltiae	52066	wbps
schistosoma_margrebowiei	48269	wbps
acanthocheilonema_viteae	6277	wbps
trichuris_muris	70415	wbps
dirofilaria_immitis	6287	wbps
steinernema_glaseri	37863	wbps
onchocerca_volvulus	6282	wbps
opisthorchis_viverrini	6198	wbps
schistosoma_haematobium	6185	wbps
ascaris_lumbricoides	6252	wbps
macrostomum_lignano	282301	wbps
hydatigera_taeniaeformis	6205	wbps
mesocestoides_corti	53468	wbps
meloidogyne_floridensis	298350	wbps
toxocara_canis	6265	wbps
schistosoma_rodhaini	6188	wbps
trichinella_spiralis	6334	wbps
trichobilharzia_regenti	157069	wbps
elaeophora_elaphi	1147741	wbps
parastrongyloides_trichosuri	131310	wbps
wuchereria_bancrofti	6293	wbps
gongylonema_pulchrum	637853	wbps
trichuris_trichiura	36087	wbps
necator_americanus	51031	wbps
dracunculus_medinensis	318479	wbps
heterorhabditis_bacteriophora	37862	wbps
haemonchus_placei	6290	wbps
thelazia_callipaeda	103827	wbps
heligmosomoides_polygyrus	375939	wbps
caenorhabditis_japonica	281687	wbps
schistosoma_japonicum	6182	wbps
litomosoides_sigmodontis	42156	wbps
enterobius_vermicularis	51028	wbps
hymenolepis_microstoma	85433	wbps
diphyllobothrium_latum	60516	wbps
clonorchis_sinensis	79923	wbps
trichinella_nativa	6335	wbps
schmidtea_mediterranea	79327	wbps
echinococcus_canadensis	519352	wbps
strongyloides_papillosus	174720	wbps
